Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won
1,Brenden Aaronson,MF,us USA,25,2000,0.8,0,0,0,2,1,0,1,0,1
2,Thelo Aasgaard,MF,no Norway,24,2002,1,0,0,0,0,3,0,0,3,1
3,Hamza Abdelkarim,FW,eg Egypt,18,2008,0.7,0,0,0,2,0,0,0,0,0
4,Hossam Abdelmaguid,DF,eg Egypt,25,2001,0.7,0,0,0,1,0,0,0,1,0
5,Mohamed Abdelmonem,DF,eg Egypt,27,1999,0.2,0,0,0,1,0,0,0,0,0
6,Ali Abdi,DF,tn Tunisia,32,1993,3,0,0,0,4,1,0,4,4,8
7,Saud Abdulhamid,DF,sa Saudi Arabia,26,1999,3,1,0,0,4,2,0,5,2,9
8,Abdulla Abdullaev,DF,uz Uzbekistan,28,1997,2,0,0,0,5,1,0,0,3,2
9,Yusuf Abdurisag,FW,qa Qatar,26,1999,1.1,0,0,0,1,2,0,0,1,2
10,Husam Abu Dahab,DF,jo Jordan,26,2000,2,1,0,0,2,1,0,0,0,3
11,Mohammad Abu Hasheesh,DF,jo Jordan,31,1995,0.1,0,0,0,0,0,0,0,0,2
12,Mohannad Abu Taha,DF,jo Jordan,23,2003,2.9,1,0,0,2,1,0,5,6,2
13,Mo Abualnadi,DF,jo Jordan,25,2001,0.8,0,0,0,0,0,0,0,0,0
14,Yazeed Abulaila,GK,jo Jordan,33,1993,3,0,0,0,0,0,0,0,0,0
15,Mahmoud Abunada,GK,qa Qatar,26,2000,3,1,0,0,1,1,0,0,0,0
16,Elias Achouri,FWMF,tn Tunisia,27,1999,0.5,0,0,0,0,1,1,0,0,2
17,Ché Adams,FW,sct Scotland,29,1996,1.6,0,0,0,4,2,0,0,0,1
18,Jayden Adams,MF,za South Africa,25,2001,1.3,0,0,0,0,0,0,0,2,0
19,Tyler Adams,MF,us USA,27,1999,3.8,1,0,0,5,6,0,0,8,5
20,Ricardo Adé,DF,ht Haiti,36,1990,3,0,0,0,6,4,0,1,5,2
21,Ibrahim Adel,MF,eg Egypt,25,2001,0,0,0,0,0,0,0,0,0,0
22,Simon Adingra,FWMF,ci Côte d'Ivoire,24,2002,0.2,0,0,0,0,0,0,1,0,0
23,Jonas Adjetey,DF,gh Ghana,22,2003,2.5,0,0,0,1,0,0,0,1,3
24,Michel Aebischer,MFFW,ch Switzerland,29,1997,1.7,0,0,0,3,2,0,6,0,1
25,Akram Afif,FWMF,qa Qatar,29,1996,2.6,0,0,0,0,4,2,11,0,1
26,Emmanuel Agbadou,DF,ci Côte d'Ivoire,28,1997,3,0,0,0,0,0,0,0,4,6
27,Rodrigo Aguirre,FW,uy Uruguay,31,1994,0,0,0,0,0,0,0,0,0,0
28,Ali Ahmed,MF,ca Canada,25,2000,2.6,0,0,0,1,5,0,13,3,2
29,Homam Ahmed,DF,qa Qatar,26,1999,1.4,0,1,0,4,0,0,3,3,1
30,Rayan Aït-Nouri,DF,dz Algeria,25,2001,3.2,0,0,0,6,4,0,8,5,13
31,Kristoffer Ajer,DF,no Norway,28,1998,5.3,1,0,0,2,1,0,1,4,8
32,Manuel Akanji,DF,ch Switzerland,30,1995,6.7,0,0,0,4,4,0,0,6,9
33,Nathan Aké,DF,nl Netherlands,31,1995,1.9,0,0,0,2,2,0,1,4,0
34,Yunus Akgün,MF,tr Türkiye,25,2000,1,1,0,0,2,1,0,2,0,0
35,Maghnes Akliouche,MF,fr France,24,2002,0.1,0,0,0,0,0,0,1,0,0
36,Kerem Aktürko?lu,FW,tr Türkiye,27,1998,1.4,0,0,0,0,2,0,1,0,1
37,Ahmed Alaaeldin,FW,qa Qatar,33,1993,0.5,0,0,0,1,1,0,0,0,1
38,David Alaba,DF,at Austria,33,1992,3.1,0,0,0,2,0,0,1,4,1
39,Kerim Alajbegovi?,MF,ba Bosnia–Herz,18,2007,3.1,0,0,0,4,6,1,15,2,0
40,Jordy Alcivar,MF,ec Ecuador,26,1999,0.5,1,0,0,1,0,0,1,0,1
41,Omar Alderete,DF,py Paraguay,29,1996,3.6,0,0,0,2,3,0,0,2,0
42,Almoez Ali,FW,qa Qatar,29,1996,0.2,0,0,0,0,0,0,0,0,0
43,Hussein Ali,DF,iq Iraq,24,2002,1.8,0,0,0,1,0,1,1,2,2
