Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won,Pos_primary,Squad_clean,Stage,Fls_per90
274,Jean-Kevin Duverne,DF,ht Haiti,28,1997,1.9,0,0,0,2,1,1,1,4,2,DF,Haiti,Group Stage Exit,1.0526315789473684
914,Musa Al-Taamari,FW,jo Jordan,29,1997,2.4,0,0,0,2,3,1,0,0,0,FW,Jordan,Group Stage Exit,0.8333333333333334
131,Rodrigo Bentancur,MF,uy Uruguay,28,1997,3.0,1,0,0,7,5,0,4,7,5,MF,Uruguay,Group Stage Exit,2.3333333333333335
508,Ladislav Krej?í,DF,cz Czechia,27,1999,3.0,1,0,0,6,2,0,2,1,3,DF,Czechia,Group Stage Exit,2.0
424,Oh Hyeon-gyu,FW,kr Korea Republic,25,2001,1.4,0,0,0,0,1,0,1,0,0,FW,Korea Republic,Group Stage Exit,0.0
390,Sontje Hansen,FW,cw Curaçao,24,2002,0.5,0,0,0,0,0,0,0,0,0,FW,Curaçao,Group Stage Exit,0.0
764,Jesse Randall,MF,nz New Zealand,23,2002,0.7,0,0,0,0,1,0,5,0,0,MF,New Zealand,Group Stage Exit,0.0
381,Ehsan Hajsafi,DF,ir IR Iran,36,1990,1.0,1,0,0,2,1,0,2,1,0,DF,IR Iran,Group Stage Exit,2.0
17,Ché Adams,FW,sct Scotland,29,1996,1.6,0,0,0,4,2,0,0,0,1,FW,Scotland,Group Stage Exit,2.5
289,Derrick Etienne,FWMF,ht Haiti,29,1996,0.1,0,0,0,0,0,0,2,0,0,FWMF,Haiti,Group Stage Exit,0.0
435,Wilson Isidor,FW,ht Haiti,25,2000,2.1,0,0,0,3,2,1,0,1,1,FW,Haiti,Group Stage Exit,1.4285714285714286
965,Federico Valverde,MF,uy Uruguay,27,1998,2.6,0,0,0,1,0,0,11,3,2,MF,Uruguay,Group Stage Exit,0.3846153846153846
92,O?uz Ayd?n,DF,tr Türkiye,25,2000,1.0,0,0,0,0,2,0,3,0,6,DF,Türkiye,Group Stage Exit,0.0
989,Francis de Vries,DF,nz New Zealand,31,1994,0.2,0,0,0,0,0,0,3,1,0,DF,New Zealand,Group Stage Exit,0.0
771,Noor Al Rawabdeh,MF,jo Jordan,29,1997,3.0,0,0,0,1,0,0,0,2,7,MF,Jordan,Group Stage Exit,0.3333333333333333
241,Louicius Deedson,MF,ht Haiti,25,2001,1.2,0,0,0,3,1,1,4,1,0,MF,Haiti,Group Stage Exit,2.5
137,Tyler Bindon,DF,nz New Zealand,21,2005,1.1,0,0,0,2,1,0,2,1,2,DF,New Zealand,Group Stage Exit,1.8181818181818181
11,Mohammad Abu Hasheesh,DF,jo Jordan,31,1995,0.1,0,0,0,0,0,0,0,0,2,DF,Jordan,Group Stage Exit,0.0
779,Ramin Rezaeian,DFMF,ir IR Iran,36,1990,3.0,0,0,0,2,3,1,18,2,5,DFMF,IR Iran,Group Stage Exit,0.6666666666666666
922,Montassar Talbi,DF,tn Tunisia,28,1998,3.0,0,0,0,1,1,0,0,5,2,DF,Tunisia,Group Stage Exit,0.3333333333333333
389,Grant Hanley,DF,sct Scotland,34,1991,2.0,0,0,0,1,0,1,0,1,2,DF,Scotland,Group Stage Exit,0.5
809,Elias Saad,MFFW,tn Tunisia,26,1999,1.3,0,0,0,1,3,1,2,0,1,MFFW,Tunisia,Group Stage Exit,0.7692307692307692
982,Federico Viñas,FW,uy Uruguay,27,1998,2.1,0,0,0,3,3,3,0,1,2,FW,Uruguay,Group Stage Exit,1.4285714285714286
315,Yassin Fortuné,FWMF,ht Haiti,27,1999,0.1,0,0,0,0,1,0,0,0,0,FWMF,Haiti,Group Stage Exit,0.0
232,Salem Al-Dawsari,MF,sa Saudi Arabia,34,1991,2.7,1,0,0,3,4,1,3,1,1,MF,Saudi Arabia,Group Stage Exit,1.111111111111111
1028,Jaroslav Zelený,MF,cz Czechia,33,1992,1.4,0,0,0,0,2,0,4,0,0,MF,Czechia,Group Stage Exit,0.0
964,Yan Valery,DF,tn Tunisia,27,1999,2.8,0,0,0,4,0,1,7,4,1,DF,Tunisia,Group Stage Exit,1.4285714285714286
338,Mohammad Ghorbani,MF,ir IR Iran,25,2001,1.0,0,0,0,2,1,0,0,2,2,MF,IR Iran,Group Stage Exit,2.0
182,Jens Castrop,MF,kr Korea Republic,22,2003,0.5,0,0,0,3,0,0,3,0,0,MF,Korea Republic,Group Stage Exit,6.0
632,Kim Moon-hwan,MF,kr Korea Republic,30,1995,0.8,0,0,0,0,0,0,0,1,1,MF,Korea Republic,Group Stage Exit,0.0
122,Jean-Ricner Bellegarde,MF,ht Haiti,27,1998,2.9,1,0,0,4,5,0,10,3,2,MF,Haiti,Group Stage Exit,1.3793103448275863
167,Sebastián Cáceres,DF,uy Uruguay,26,1999,3.0,0,0,0,2,2,0,1,2,1,DF,Uruguay,Group Stage Exit,0.6666666666666666
1018,Kenan Y?ld?z,MF,tr Türkiye,21,2005,2.4,0,0,0,2,4,0,6,1,2,MF,Türkiye,Group Stage Exit,0.8333333333333334
375,Ihsan Haddad,DF,jo Jordan,32,1994,2.9,0,0,0,3,1,0,8,2,1,DF,Jordan,Group Stage Exit,1.0344827586206897
179,Josué Casimir,MF,ht Haiti,24,2001,2.0,1,0,0,4,4,0,3,0,0,MF,Haiti,Group Stage Exit,2.0
474,Lee Kang-in,FW,kr Korea Republic,25,2001,3.0,1,0,0,1,7,0,19,0,0,FW,Korea Republic,Group Stage Exit,0.3333333333333333
995,Cecilio Waterman,FW,pa Panama,35,1991,0.8,0,0,0,1,1,0,0,0,0,FW,Panama,Group Stage Exit,1.25
365,Deniz Gül,FW,tr Türkiye,21,2004,0.4,0,0,0,2,0,0,0,0,0,FW,Türkiye,Group Stage Exit,5.0
461,Edmilson Junior,MFFW,qa Qatar,31,1994,2.3,0,0,0,4,2,1,4,0,1,MFFW,Qatar,Group Stage Exit,1.7391304347826089
187,t?pán Chaloupek,DF,cz Czechia,23,2003,1.0,0,0,0,1,0,0,0,2,0,DF,Czechia,Group Stage Exit,1.0
431,Zidane Iqbal,MF,iq Iraq,23,2003,2.1,0,0,0,1,2,0,2,1,2,MF,Iraq,Group Stage Exit,0.47619047619047616
196,Tomá Chorý,FW,cz Czechia,31,1995,0.3,0,0,0,2,1,0,0,0,0,FW,Czechia,Group Stage Exit,6.666666666666667
946,Sebastian Tounekti,FW,tn Tunisia,23,2002,0.9,0,0,0,1,0,0,3,0,0,FW,Tunisia,Group Stage Exit,1.1111111111111112
460,Lenny Joseph,FW,ht Haiti,25,2000,1.3,0,0,0,6,1,0,0,0,0,FW,Haiti,Group Stage Exit,4.615384615384615
541,José Luis Rodríguez,MFFW,pa Panama,27,1998,2.6,0,0,0,4,2,0,17,0,3,MFFW,Panama,Group Stage Exit,1.5384615384615383
75,Maxi Araújo,FWMF,uy Uruguay,26,2000,2.8,0,0,0,2,7,6,18,0,0,FWMF,Uruguay,Group Stage Exit,0.7142857142857143
58,Michael Amir Murillo,DFMF,pa Panama,30,1996,3.0,0,0,0,1,7,1,8,1,3,DFMF,Panama,Group Stage Exit,0.3333333333333333
61,Azizbek Amonov,FW,uz Uzbekistan,28,1997,0.2,0,0,0,0,0,0,1,0,0,FW,Uzbekistan,Group Stage Exit,0.0
968,Guillermo Varela,DF,uy Uruguay,33,1993,3.0,1,0,0,1,1,0,9,7,1,DF,Uruguay,Group Stage Exit,0.3333333333333333
384,Ali Al Hamadi,FW,iq Iraq,24,2002,2.0,0,0,0,1,5,0,0,2,2,FW,Iraq,Group Stage Exit,0.5
863,Lawrence Shankland,FW,sct Scotland,30,1995,1.9,0,0,0,5,3,1,0,0,1,FW,Scotland,Group Stage Exit,2.6315789473684212
244,Merih Demiral,DF,tr Türkiye,28,1998,2.0,0,0,0,2,1,3,1,1,1,DF,Türkiye,Group Stage Exit,1.0
43,Hussein Ali,DF,iq Iraq,24,2002,1.8,0,0,0,1,0,1,1,2,2,DF,Iraq,Group Stage Exit,0.5555555555555556
488,Rani Khedira,MF,tn Tunisia,32,1994,1.7,1,0,0,3,0,0,0,2,1,MF,Tunisia,Group Stage Exit,1.7647058823529411
683,Armando Obispo,DF,cw Curaçao,27,1999,3.0,0,0,0,1,0,1,0,7,1,DF,Curaçao,Group Stage Exit,0.3333333333333333
515,Ali Lajami,DF,sa Saudi Arabia,30,1996,1.7,0,0,0,0,2,0,0,3,2,DF,Saudi Arabia,Group Stage Exit,0.0
554,Hadj Mahmoud,MF,tn Tunisia,26,2000,0.5,0,0,0,2,0,0,0,0,2,MF,Tunisia,Group Stage Exit,4.0
479,Gervane Kastaneer,FWMF,cw Curaçao,30,1996,0.3,2,0,0,2,0,0,0,0,0,FWMF,Curaçao,Group Stage Exit,6.666666666666667
12,Mohannad Abu Taha,DF,jo Jordan,23,2003,2.9,1,0,0,2,1,0,5,6,2,DF,Jordan,Group Stage Exit,0.6896551724137931
676,Darwin Núñez,FW,uy Uruguay,26,1999,1.7,0,0,0,1,1,2,1,2,1,FW,Uruguay,Group Stage Exit,0.5882352941176471
570,Marquinhos,DF,br Brazil,32,1994,5.0,0,0,0,0,2,1,1,3,2,DF,Brazil,Reached Knockouts,0.0
141,Moïse Bombito,DF,ca Canada,26,2000,2.1,0,0,0,2,0,0,0,1,0,DF,Canada,Reached Knockouts,0.9523809523809523
817,Ismael Saibari,FW,ma Morocco,25,2001,4.2,0,0,0,8,3,3,5,0,2,FW,Morocco,Reached Knockouts,1.9047619047619047
512,Maxence Lacroix,DF,fr France,26,2000,2.7,0,0,0,5,0,1,0,3,2,DF,France,Reached Knockouts,1.8518518518518516
608,Nuno Mendes,DF,pt Portugal,23,2002,4.4,0,0,0,3,12,1,19,0,6,DF,Portugal,Reached Knockouts,0.6818181818181818
1036,Martín Zubimendi,MF,es Spain,27,1999,0.2,0,0,0,0,0,0,0,1,0,MF,Spain,Reached Knockouts,0.0
103,Folarin Balogun,FW,us USA,24,2001,3.5,1,1,0,3,8,3,0,1,0,FW,USA,Reached Knockouts,0.8571428571428571
129,Ramy Bensebaini,DF,dz Algeria,31,1995,4.0,0,0,0,1,5,0,0,7,6,DF,Algeria,Reached Knockouts,0.25
265,Ritsu Doan,MF,jp Japan,27,1998,3.1,0,0,0,6,4,0,5,1,1,MF,Japan,Reached Knockouts,1.9354838709677418
101,Cédric Bakambu,FW,cd Congo DR,35,1991,2.1,0,0,0,2,1,4,1,0,0,FW,Congo DR,Reached Knockouts,0.9523809523809523
438,Ko Itakura,DF,jp Japan,29,1997,1.4,0,0,0,1,0,0,0,1,0,DF,Japan,Reached Knockouts,0.7142857142857143
144,Jordy Bos,MFDF,au Australia,23,2002,3.4,1,0,0,4,4,0,8,3,3,MFDF,Australia,Reached Knockouts,1.1764705882352942
731,Pico,DF,cv Cabo Verde,33,1992,4.3,0,0,0,0,3,0,0,7,5,DF,Cabo Verde,Reached Knockouts,0.0
253,Krépin Diatta,DF,sn Senegal,27,1999,4.3,0,0,0,4,6,0,12,3,10,DF,Senegal,Reached Knockouts,0.9302325581395349
117,Maximilian Beier,FWMF,de Germany,23,2002,0.3,0,0,0,1,1,0,0,0,0,FWMF,Germany,Reached Knockouts,3.3333333333333335
1035,Zizo,MF,eg Egypt,30,1996,0.6,0,0,0,2,1,0,6,0,1,MF,Egypt,Reached Knockouts,3.3333333333333335
1013,Lamine Yamal,MFFW,es Spain,18,2007,6.8,0,0,0,14,9,7,34,2,9,MFFW,Spain,Reached Knockouts,2.058823529411765
161,Dan Burn,DF,eng England,34,1992,0.4,0,0,0,1,0,0,0,0,0,DF,England,Reached Knockouts,2.5
492,Justin Kluivert,FWMF,nl Netherlands,27,1999,0.3,0,0,0,0,2,0,1,0,0,FWMF,Netherlands,Reached Knockouts,0.0
299,Christian Fassnacht,FWMF,ch Switzerland,32,1993,0.1,0,0,0,0,0,0,0,0,1,FWMF,Switzerland,Reached Knockouts,0.0
139,Damián Bobadilla,MF,py Paraguay,24,2001,2.1,0,0,0,1,1,0,1,5,3,MF,Paraguay,Reached Knockouts,0.47619047619047616
860,Joaquin Seys,DF,be Belgium,21,2005,0.3,0,0,0,0,0,0,0,0,1,DF,Belgium,Reached Knockouts,0.0
1017,Tete Yengi,FW,au Australia,25,2000,0.3,0,0,0,3,0,0,1,0,2,FW,Australia,Reached Knockouts,10.0
921,Chemsdine Talbi,MF,ma Morocco,21,2005,2.0,0,0,0,0,1,0,9,2,2,MF,Morocco,Reached Knockouts,0.0
589,Ibrahim Mbaye,MF,sn Senegal,18,2008,1.7,0,0,0,0,2,0,9,1,0,MF,Senegal,Reached Knockouts,0.0
852,Willy Semedo,FW,cv Cabo Verde,32,1994,1.5,0,0,0,4,2,0,2,3,0,FW,Cabo Verde,Reached Knockouts,2.6666666666666665
621,Luka Modri?,MF,hr Croatia,40,1985,3.5,1,0,0,4,3,0,11,0,3,MF,Croatia,Reached Knockouts,1.1428571428571428
133,Sander Berge,MF,no Norway,28,1998,5.3,0,0,0,6,2,0,1,9,4,MF,Norway,Reached Knockouts,1.1320754716981132
1000,Silvan Widmer,DF,ch Switzerland,33,1993,1.9,0,0,0,2,0,0,4,1,4,DF,Switzerland,Reached Knockouts,1.0526315789473684
26,Emmanuel Agbadou,DF,ci Côte d'Ivoire,28,1997,3.0,0,0,0,0,0,0,0,4,6,DF,Côte d'Ivoire,Reached Knockouts,0.0
726,Kojo Peprah Oppong,DF,gh Ghana,22,2004,0.5,1,0,0,1,0,0,0,0,0,DF,Ghana,Reached Knockouts,2.0
454,Raúl Jiménez,FW,mx Mexico,35,1991,3.5,0,0,0,7,2,2,0,0,1,FW,Mexico,Reached Knockouts,2.0
497,Ibrahima Konaté,DF,fr France,27,1999,0.7,0,0,0,2,1,0,0,3,0,DF,France,Reached Knockouts,2.857142857142857
712,Lucas Paquetá,MF,br Brazil,28,1997,2.6,0,0,0,3,6,0,5,5,4,MF,Brazil,Reached Knockouts,1.1538461538461537
62,Mohamed Amoura,FWMF,dz Algeria,26,2000,0.3,0,0,0,1,0,0,0,0,0,FWMF,Algeria,Reached Knockouts,3.3333333333333335
590,Chancel Mbemba,DF,cd Congo DR,31,1994,4.0,1,0,0,1,3,0,4,1,3,DF,Congo DR,Reached Knockouts,0.25
347,Armando González,FW,mx Mexico,23,2003,0.2,0,0,0,1,0,0,0,0,0,FW,Mexico,Reached Knockouts,5.0
470,Gédéon Kalulu,DF,cd Congo DR,28,1997,0.1,0,0,0,0,0,0,0,0,0,DF,Congo DR,Reached Knockouts,0.0
520,Cyle Larin,FW,ca Canada,31,1995,2.1,2,0,0,5,1,3,0,0,0,FW,Canada,Reached Knockouts,2.380952380952381
918,Jonathan Tah,DF,de Germany,30,1996,4.1,0,0,0,5,1,0,1,1,3,DF,Germany,Reached Knockouts,1.2195121951219514
620,Aubrey Modiba,DF,za South Africa,30,1995,3.8,1,0,0,4,6,2,11,4,5,DF,South Africa,Reached Knockouts,1.0526315789473684
639,Samuel Moutoussamy,MF,cd Congo DR,29,1996,3.7,1,0,0,8,1,0,1,1,8,MF,Congo DR,Reached Knockouts,2.162162162162162
216,Pau Cubarsí,DF,es Spain,19,2007,8.3,1,0,0,4,5,0,1,4,4,DF,Spain,Reached Knockouts,0.48192771084337344
893,Angelo Stiller,MF,de Germany,25,2001,0.5,0,0,0,0,0,0,0,1,1,MF,Germany,Reached Knockouts,0.0
193,Rayan Cherki,MF,fr France,22,2003,1.4,0,0,0,2,2,0,1,1,1,MF,France,Reached Knockouts,1.4285714285714286
855,Marcos Senesi,DF,ar Argentina,29,1997,1.2,0,0,0,0,3,0,0,2,0,DF,Argentina,Reached Knockouts,0.0
927,Aurélien Tchouaméni,MF,fr France,26,2000,4.0,1,0,0,4,3,0,2,6,14,MF,France,Reached Knockouts,1.0
782,Chris Richards,DF,us USA,26,2000,4.0,1,0,0,8,3,0,0,4,3,DF,USA,Reached Knockouts,2.0
511,Prince Kwabena Adu,FW,gh Ghana,22,2003,0.4,0,0,0,4,0,0,0,0,0,FW,Ghana,Reached Knockouts,10.0
984,Pedro Vite,MF,ec Ecuador,24,2002,4.0,0,0,0,2,5,0,6,5,11,MF,Ecuador,Reached Knockouts,0.5
3,Hamza Abdelkarim,FW,eg Egypt,18,2008,0.7,0,0,0,2,0,0,0,0,0,FW,Egypt,Reached Knockouts,2.857142857142857
953,Auston Trusty,DF,us USA,27,1998,1.1,0,0,0,2,0,0,2,4,1,DF,USA,Reached Knockouts,1.8181818181818181
234,Kevin De Bruyne,MF,be Belgium,34,1991,4.2,1,0,0,2,4,0,21,0,2,MF,Belgium,Reached Knockouts,0.47619047619047616
524,Rafael Leão,MF,pt Portugal,27,1999,1.8,0,0,0,1,2,0,7,2,0,MF,Portugal,Reached Knockouts,0.5555555555555556
362,Idrissa Gueye,MF,sn Senegal,36,1989,4.0,0,0,0,2,2,0,1,2,4,MF,Senegal,Reached Knockouts,0.5
729,Charles Pickel,DFMF,cd Congo DR,29,1997,0.4,1,0,0,2,1,0,0,0,0,DFMF,Congo DR,Reached Knockouts,5.0
368,Malo Gusto,DF,fr France,23,2003,1.3,0,0,0,4,2,0,2,2,3,DF,France,Reached Knockouts,3.0769230769230766
496,Ghislain Konan,DF,ci Côte d'Ivoire,30,1995,3.0,0,0,0,0,1,0,8,0,3,DF,Côte d'Ivoire,Reached Knockouts,0.0
1016,John Yeboah,MF,ec Ecuador,25,2000,3.5,0,0,0,0,4,0,11,3,3,MF,Ecuador,Reached Knockouts,0.0
258,Bamba Dieng,FW,sn Senegal,26,2000,0.1,0,0,0,0,0,0,0,0,0,FW,Senegal,Reached Knockouts,0.0
