Player,Squad,Apps,Min,Shots,SoT,ShotAcc,Shots90,SoT90
Alexis Mac Allister,Argentina,8,777,13,4,30.77,1.506,0.463
Kevin De Bruyne,Belgium,6,387,20,5,25.0,4.651,1.163
Desire Doue,France,8,415,13,8,61.54,2.819,1.735
Kylian Mbappe,France,8,716,41,21,51.22,5.154,2.64
Ismaila Sarr,Senegal,4,386,17,6,35.29,3.964,1.399
Raul Jimenez,Mexico,5,332,17,7,41.18,4.608,1.898
Enner Valencia,Ecuador,4,264,10,6,60.0,3.409,2.045
Lautaro Martinez,Argentina,8,322,10,4,40.0,2.795,1.118
Matheus Cunha,Brazil,5,293,12,5,41.67,3.686,1.536
Viktor Gyokeres,Sweden,4,363,12,6,50.0,2.975,1.488
Ousmane Dembele,France,8,596,20,10,50.0,3.02,1.51
Cody Gakpo,Netherlands,4,372,10,6,60.0,2.419,1.452
Cristiano Ronaldo,Portugal,5,454,18,9,50.0,3.568,1.784
Lionel Messi,Argentina,8,762,35,18,51.43,4.134,2.126
Julian Alvarez,Argentina,8,619,11,5,45.45,1.599,0.727
Kai Havertz,Germany,4,355,12,7,58.33,3.042,1.775
Enzo Fernandez,Argentina,8,688,12,4,33.33,1.57,0.523
Vinicius Junior,Brazil,5,449,17,11,64.71,3.408,2.205
Alex Baena,Spain,8,487,12,5,41.67,2.218,0.924
Maxim De Cuyper,Belgium,6,452,10,6,60.0,1.991,1.195
Mikel Oyarzabal,Spain,8,617,23,12,52.17,3.355,1.75
Jude Bellingham,England,8,628,19,12,63.16,2.723,1.72
Michael Olise,France,8,666,20,5,25.0,2.703,0.676
Julian Quinones,Mexico,5,414,14,6,42.86,3.043,1.304
Erling Haaland,Norway,6,490,21,13,61.9,3.857,2.388
Folarin Balogun,United States,5,318,14,5,35.71,3.962,1.415
Achraf Hakimi,Morocco,6,586,14,4,28.57,2.15,0.614
Bukayo Saka,England,8,364,13,8,61.54,3.214,1.978
Ferran Torres,Spain,8,308,14,4,28.57,4.091,1.169
Marcus Rashford,England,8,235,12,5,41.67,4.596,1.915
