Player,Squad,Apps,Min,SoT
Kylian Mbappe,France,8,716,21
Lionel Messi,Argentina,8,762,18
Erling Haaland,Norway,6,490,13
Harry Kane,England,8,660,12
Lamine Yamal,Spain,8,631,12
Jude Bellingham,England,8,628,12
Mikel Oyarzabal,Spain,8,617,12
Vinicius Junior,Brazil,5,449,11
Ousmane Dembele,France,8,596,10
Cristiano Ronaldo,Portugal,5,454,9
Jonathan David,Canada,5,421,8
Desire Doue,France,8,415,8
Dan Ndoye,Switzerland,6,410,8
Bukayo Saka,England,8,364,8
Kai Havertz,Germany,4,355,7
Raul Jimenez,Mexico,5,332,7
Breel Embolo,Switzerland,6,506,6
Maxim De Cuyper,Belgium,6,452,6
Julian Quinones,Mexico,5,414,6
Ismaila Sarr,Senegal,4,386,6
Cody Gakpo,Netherlands,4,372,6
Viktor Gyokeres,Sweden,4,363,6
Alexander Isak,Sweden,4,359,6
Enner Valencia,Ecuador,4,264,6
Michael Olise,France,8,666,5
Julian Alvarez,Argentina,8,619,5
Alex Baena,Spain,8,487,5
Luis Diaz,Colombia,5,434,5
Gustavo Puerta,Colombia,5,421,5
Bradley Barcola,France,8,400,5
Kevin De Bruyne,Belgium,6,387,5
Charles De Ketelaere,Belgium,6,353,5
Gonzalo Plata,Ecuador,4,321,5
Folarin Balogun,United States,5,318,5
Matheus Cunha,Brazil,5,293,5
Elijah Just,New Zealand,3,265,5
Marcus Rashford,England,8,235,5
Amad Traore,Cote d'Ivoire,4,194,5
Alexis Mac Allister,Argentina,8,777,4
Enzo Fernandez,Argentina,8,688,4
Achraf Hakimi,Morocco,6,586,4
Bilal El Khannous,Morocco,6,475,4
Mohamed Salah,Egypt,5,440,4
Anthony Gordon,England,8,411,4
Malik Tillman,United States,5,370,4
Ermedin Demirovic,Bosnia and Herzegovina,4,366,4
Jhon Arias,Colombia,5,346,4
Ayase Ueda,Japan,4,325,4
Lautaro Martinez,Argentina,8,322,4
Ferran Torres,Spain,8,308,4
