Player,Squad,Apps,Min,Shots
Kylian Mbappe,France,8,716,41
Lionel Messi,Argentina,8,762,35
Lamine Yamal,Spain,8,631,27
Harry Kane,England,8,660,23
Mikel Oyarzabal,Spain,8,617,23
Erling Haaland,Norway,6,490,21
Michael Olise,France,8,666,20
Ousmane Dembele,France,8,596,20
Kevin De Bruyne,Belgium,6,387,20
Jude Bellingham,England,8,628,19
Jonathan David,Canada,5,421,19
Cristiano Ronaldo,Portugal,5,454,18
Leandro Trossard,Belgium,6,515,17
Vinicius Junior,Brazil,5,449,17
Ismaila Sarr,Senegal,4,386,17
Raul Jimenez,Mexico,5,332,17
Dan Ndoye,Switzerland,6,410,16
Luis Diaz,Colombia,5,434,15
Achraf Hakimi,Morocco,6,586,14
Julian Quinones,Mexico,5,414,14
Folarin Balogun,United States,5,318,14
Ferran Torres,Spain,8,308,14
Kenan Yildiz,Turkey,3,233,14
Alexis Mac Allister,Argentina,8,777,13
Dani Olmo,Spain,8,499,13
Gustavo Puerta,Colombia,5,421,13
Desire Doue,France,8,415,13
Bukayo Saka,England,8,364,13
Enzo Fernandez,Argentina,8,688,12
Alex Baena,Spain,8,487,12
Viktor Gyokeres,Sweden,4,363,12
Kai Havertz,Germany,4,355,12
Matheus Cunha,Brazil,5,293,12
Arda Guler,Turkey,3,284,12
Marcus Rashford,England,8,235,12
Julian Alvarez,Argentina,8,619,11
Youri Tielemans,Belgium,5,495,11
Yoane Wissa,Congo DR,4,367,11
Ibrahim Maza,Algeria,4,358,11
Omar Marmoush,Egypt,5,345,11
Hakan Calhanoglu,Turkey,3,194,11
Breel Embolo,Switzerland,6,506,10
Maxim De Cuyper,Belgium,6,452,10
Bradley Barcola,France,8,400,10
Ismael Saibari,Morocco,6,385,10
Cody Gakpo,Netherlands,4,372,10
Emam Ashour,Egypt,5,366,10
Florian Wirtz,Germany,4,363,10
Lautaro Martinez,Argentina,8,322,10
Enner Valencia,Ecuador,4,264,10
